seed,snr_db,aoa_std_deg,method,label,mae_m,rmse_m,p90_m,p95_m
53,25,2.1297271778393787,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.93030757,1.0755259,1.5346686,1.7772939
53,25,2.1297271778393787,adr_tcn_central,ADR TCN-only (centralized),0.07508887,0.10681407,0.13778265,0.17274438
53,25,2.1297271778393787,adr_lstm_central,ADR LSTM-only (centralized),0.07303503,0.099489614,0.13635965,0.16497931
53,25,2.1297271778393787,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.0725501,0.09731731,0.13545391,0.16632493
53,25,2.1297271778393787,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.07873637,0.11750184,0.14100462,0.18446752
53,30,1.6008373651881906,fl_static_no_densification,Federated static DNN without temporal densification,0.13705845,0.47022796,0.10661869,0.14121963
53,30,1.6008373651881906,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.9212277,1.065375,1.5181043,1.760961
53,30,1.6008373651881906,adr_tcn_central,ADR TCN-only (centralized),0.059665967,0.09421246,0.10513439,0.1335385
53,30,1.6008373651881906,adr_lstm_central,ADR LSTM-only (centralized),0.05761446,0.085853025,0.10424844,0.13036594
53,30,1.6008373651881906,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.057114277,0.08333093,0.10341257,0.1291975
53,30,1.6008373651881906,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.063321866,0.10616713,0.10661869,0.1404251
53,35,1.3002513113090588,fl_static_no_densification,Federated static DNN without temporal densification,0.12826566,0.46903944,0.08625325,0.114724554
53,35,1.3002513113090588,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.91830605,1.0620902,1.5146983,1.7537794
53,35,1.3002513113090588,adr_tcn_central,ADR TCN-only (centralized),0.0508542,0.08799151,0.08543511,0.11009955
53,35,1.3002513113090588,adr_lstm_central,ADR LSTM-only (centralized),0.048800178,0.07899526,0.08471478,0.10773522
53,35,1.3002513113090588,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.048292138,0.076250575,0.08394269,0.106644146
53,35,1.3002513113090588,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.054507956,0.100671865,0.08625325,0.114724554
53,40,1.142473721008936,fl_static_no_densification,Federated static DNN without temporal densification,0.12364692,0.46851543,0.075705335,0.10053992
53,40,1.142473721008936,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.9174004,1.0610678,1.5142318,1.7502751
53,40,1.142473721008936,adr_tcn_central,ADR TCN-only (centralized),0.046228353,0.085106336,0.07510684,0.09789915
53,40,1.142473721008936,adr_lstm_central,ADR LSTM-only (centralized),0.044171087,0.07577773,0.074670605,0.096798174
53,40,1.142473721008936,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.043659233,0.07291446,0.07411475,0.09459773
53,40,1.142473721008936,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.049878035,0.09814816,0.075705335,0.10053992
71,0,14.514365903196108,fl_static_no_densification,Federated static DNN without temporal densification,0.53024113,0.7068514,1.0120852,1.3658634
71,0,14.514365903196108,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.6756306,1.7973157,2.4719982,2.728106
